Scoring Software by www.RCScoringPro.com                8:09:03 PM  01/14/2012

                               TACOMA R/C RACEWAY

MODIFIED BUGGY B Main                                         Round# 3, Race# 16

________________________Driver___Car#____Laps____RaceTime____Fast Lap___Behind_
Matesa, Ryan			#2 		28		 8:10.270		 16.939		          
DIBRINO, ANDY			#3 		28		 8:13.744		 16.748		     3.474
JOWERS, ROBERT			#4 		27		 8:01.288		 16.874		          
HONSTAIN, ANTHONY			#8 		27		 8:11.316		 17.290		    10.028
GOULD, CHRIS			#1 		27		 8:11.756		 16.900		    10.468
CHERRY, GEORGE			#5 		27		 8:17.078		 17.426		    15.790
TRAVIS SCHREVEN			#7 		26		 8:01.935		 16.613		          
RASHEED, DEREK			#6 		26		 8:02.970		 17.008		     1.035
ROGER SEIM			#10		26		 8:04.489		 17.121		     2.554
TOM WAGGONER			#9 		26		 8:07.943		 17.063		     6.008

 ___1___ ___2___ ___3___ ___4___ ___5___ ___6___ ___7___ ___8___ ___9___ ___10__
 10/24.5 1/20.58 3/22.32 6/23.85 4/23.14 5/23.45 2/21.97 8/24.19 9/24.35 7/23.92
 8/18.04 1/17.09 5/19.28 9/19.79 3/17.67 4/17.72 2/17.83 7/18.19 10/20.0 6/18.13
 8/17.53 1/16.93 4/17.02 9/17.43 3/17.66 5/17.98 2/17.22 7/17.34 10/19.4 6/17.26
 5/17.34 1/17.11 3/17.65 7/17.67 9/22.07 8/20.90 2/18.20 4/17.56 10/20.8 6/19.10
 4/17.13 1/17.25 3/17.96 6/17.16 9/17.42 8/17.60 2/18.27 5/17.74 10/17.3 7/18.50
 4/17.30 1/17.25 3/17.26 6/17.65 9/19.12 8/18.86 2/17.14 5/17.76 10/17.5 7/17.19
 4/17.21 1/16.99 3/17.17 6/17.42 9/17.63 8/17.75 2/17.92 5/17.59 10/17.5 7/19.47
 2/17.42 1/17.44 5/20.61 3/17.32 9/17.48 8/17.46 4/20.34 6/19.75 10/17.3 7/17.26
 2/17.14 1/17.33 4/17.39 3/17.60 9/18.96 8/19.20 7/21.09 5/17.41 10/18.5 6/17.34
 2/17.18 1/17.56 4/16.74 3/17.38 9/21.50 10/22.4 6/18.16 5/19.21 8/18.10 7/22.36
 2/17.47 1/17.31 4/17.49 3/16.88 9/18.12 10/17.8 7/20.85 5/17.53 8/18.10 6/17.75
 2/17.01 1/17.35 4/16.87 3/17.26 9/19.50 8/18.13 10/23.2 5/17.72 6/18.36 7/19.70
 2/17.21 1/18.07 4/17.10 3/16.97 8/17.55 10/23.3 9/17.77 5/18.00 6/17.10 7/18.20
 2/19.16 1/17.31 3/17.16 4/18.11 6/17.63 10/17.9 9/18.11 5/17.59 7/21.18 8/21.60
 2/17.03 1/18.23 3/17.14 4/17.30 6/17.76 10/19.0 9/20.36 5/17.54 7/17.56 8/17.80
 4/19.43 1/17.40 2/18.27 3/18.04 6/17.53 10/18.9 9/17.70 5/17.77 8/20.34 7/17.22
 4/17.24 1/17.32 2/16.86 3/17.12 6/18.08 10/17.1 9/17.03 5/19.33 8/17.13 7/17.19
 4/17.43 1/17.15 2/17.15 3/17.52 6/17.88 10/17.0 9/17.36 5/17.65 8/17.06 7/17.65
 4/17.31 1/17.31 2/17.41 3/17.12 6/17.57 10/17.6 9/17.01 5/17.29 8/17.56 7/17.12
 4/16.90 1/17.47 2/17.02 3/16.87 6/17.80 10/17.2 8/17.54 5/18.06 9/20.40 7/17.58
 4/17.33 1/17.31 2/17.14 3/17.08 6/17.52 10/17.0 8/17.27 5/18.06 9/17.62 7/18.30
 4/17.17 1/17.42 2/17.15 3/17.82 6/18.35 9/18.27 8/18.52 5/18.12 10/24.2 7/17.48
 4/24.36 1/18.37 2/17.37 3/20.07 6/17.81 9/17.20 8/16.61 5/17.55 10/17.4 7/17.91
 5/21.31 1/17.47 2/17.36 3/17.00 6/17.60 9/17.25 8/17.07 4/17.61 10/17.9 7/17.49
 5/17.24 1/17.34 2/17.20 3/17.26 6/17.88 8/17.78 7/17.89 4/17.69 10/17.2 9/23.20
 4/17.02 1/17.36 2/17.32 3/17.40 6/17.65 8/17.54 7/19.32 5/17.86 10/17.3 9/17.66
 5/20.17 1/17.27 2/16.93 3/18.05 6/18.07                 4/19.08                
         1/17.14 2/17.27                                                        
 ------- ------- ------- ------- ------- ------- ------- ------- ------- -------
     27/     28/     28/     27/     27/     26/     26/     27/     26/     26/
  8:11.7  8:10.2  8:13.7  8:01.2  8:17.0  8:02.9  8:01.9  8:11.3  8:07.9  8:04.4

